;classifier;resampler;selection_algorithm;accuracy;precision;recall;auc;duration
0;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='uniform')";none;variance;0.9184210526315789;0.375;0.36;0.6588732394366197;0.003445186211138207
1;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='uniform')";none;fisher;0.9;0.24;0.24;0.6588732394366197;0.0026874272889472195
2;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='uniform')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.5971830985915493;0.002798929352138657
3;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='uniform')";none;fisher;0.9342105263157895;0.5;0.08;0.5971830985915493;0.0024985564468806842
4;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.004733148824016098
5;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='uniform')";none;fisher;0.9342105263157895;0.0;0.0;0.54;0.002598680747723847
6;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.0031766710371812223
7;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='uniform')";none;fisher;0.9342105263157895;0.0;0.0;0.54;0.0020041927054990083
8;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='distance')";none;variance;0.9184210526315789;0.375;0.36;0.6588732394366197;0.0029445647005559294
9;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='distance')";none;fisher;0.9;0.24;0.24;0.6588732394366197;0.0015086911880644038
10;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='distance')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.5971830985915493;0.0042860027933784295
11;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='distance')";none;fisher;0.9289473684210526;0.4;0.16;0.5971830985915493;0.002083837036479963
12;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='distance')";none;variance;0.9421052631578948;1.0;0.12;0.56;0.004224562881063321
13;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='distance')";none;fisher;0.9263157894736842;0.3333333333333333;0.12;0.56;0.0016816331635709503
14;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='distance')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.004337202720307687
15;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='distance')";none;fisher;0.9289473684210526;0.375;0.12;0.54;0.0017442108528484823
16;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='uniform')";none;variance;0.9184210526315789;0.375;0.36;0.6588732394366197;0.003383177410796634
17;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='uniform')";none;fisher;0.9;0.24;0.24;0.6588732394366197;0.00225621012486954
18;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='uniform')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.5971830985915493;0.0045203846821095794
19;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='uniform')";none;fisher;0.9342105263157895;0.5;0.08;0.5971830985915493;0.0020007793773402227
20;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.004167105184023967
