;classifier;resampler;selection_algorithm;accuracy;precision;recall;duration
0;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1, p=2,
           weights='uniform')";none;variance;0.9184210526315789;0.375;0.36;0.002313667820089904
1;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1, p=2,
           weights='uniform')";none;fisher;0.9;0.24;0.24;0.001074060694918444
2;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='uniform')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.003751247998479812
3;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='uniform')";none;fisher;0.9342105263157895;0.5;0.08;0.0013266470023154397
4;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.0038212212321013794
5;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform')";none;fisher;0.9342105263157895;0.0;0.0;0.001449526827855152
6;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=7, p=2,
           weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.0035162972217221977
7;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=7, p=2,
           weights='uniform')";none;fisher;0.9342105263157895;0.0;0.0;0.0019950904961660854
8;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1, p=2,
           weights='distance')";none;variance;0.9184210526315789;0.375;0.36;0.002898484766774345
9;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1, p=2,
           weights='distance')";none;fisher;0.9;0.24;0.24;0.0015889044070718228
10;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='distance')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.0022357301531883422
11;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='distance')";none;fisher;0.9289473684210526;0.4;0.16;0.0012913759410366765
12;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')";none;variance;0.9421052631578948;1.0;0.12;0.00389631445887062
13;"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')";none;fisher;0.9263157894736842;0.3333333333333333;0.12;0.0019256861505709821
